Date,Open,High,Low,Close,Volume
2020-02-10,134.14,135.38,133.83,135.28,187000
2020-02-11,135.8,137.01,135.14,136.25,262600
2020-02-12,136.69,139.6,136.48,138.44,762400
2020-02-13,137.92,138.12,135.74,136.79,356100
2020-02-14,136.64,137.38,135.81,136.76,317500
2020-02-18,136.38,136.73,133.95,134.63,386300
2020-02-19,134.81,136.01,134.39,135.41,492600
2020-02-20,134.78,136.02,134.29,135.41,260300
2020-02-21,134.6,134.75,132.12,132.62,550000
2020-02-24,128.7,128.7,125.47,126.16,799800
2020-02-25,126.6,126.6,120.02,120.31,889900
2020-02-26,121.43,123.02,118.64,118.65,921700
2020-02-27,115.94,119.18,113.94,113.95,873300
2020-02-28,110.4,114.22,109.59,113.35,1002300
2020-03-02,113.59,118.86,111.6,118.82,951400
2020-03-03,118.58,121.7,116.2,117.35,811100
2020-03-04,119.14,121.21,116.53,121.13,636700
2020-03-05,116.56,120.26,116.19,118.51,1044200
2020-03-06,114.84,120.93,114.84,120.2,802400
2020-03-09,113.43,117.42,112.03,114.87,1039800
2020-03-10,118.22,120.05,113.48,119.74,923100
2020-03-11,116.13,116.79,109.83,110.37,1088200
2020-03-12,103.88,107.53,99.69,103.68,1149400
2020-03-13,108.87,109.86,98.84,105.54,784500
2020-03-16,93.02,103.52,93.02,96.51,839600
2020-03-17,98.83,107.41,95.36,106.16,850200
2020-03-18,97.24,105.31,97.09,104.92,732700
2020-03-19,103.91,105.18,96.59,102.52,639500
2020-03-20,102.88,102.88,87.56,90.33,906600
2020-03-23,89.14,89.65,76.56,78.35,925600
2020-03-24,82.05,98.44,80.66,96.26,994700
2020-03-25,95.78,99.44,92.8,97.26,1125200
2020-03-26,98.21,106.69,97.63,101.47,711600
2020-03-27,97.85,101.77,96.26,99.79,543300
2020-03-30,100.45,104.55,97.13,104.23,657300
2020-03-31,102.43,103.91,100.42,101.35,1230200
2020-04-01,97.52,99.33,94.69,95.44,809200
2020-04-02,94.5,100.31,93.51,95.41,794600
2020-04-03,94.31,98.08,92.81,93.13,827800
2020-04-06,98.45,101.63,97.17,99.9,661000
2020-04-07,102.97,107.07,100.18,103.63,691700
2020-04-08,105.02,110.14,103.83,109.64,544300
2020-04-09,110.37,116.07,110.37,114.44,688800
2020-04-13,113.56,114.39,107.48,108.22,580400
2020-04-14,110.43,112.29,109.33,109.96,376200
2020-04-15,106.27,108.07,105.17,106.43,425700
2020-04-16,107.11,107.79,101.14,104.14,539800
2020-04-17,106.69,109.44,105.81,108.8,405600
